id,user_id,question_id,lecture_id,content_id,user_answer,correct,elapsed_time,skill_id
1669179545274,0,0,,0,3,1,17,1
1669179559079,0,1,,1,1,1,13,1
1669179570936,0,2,,2,0,0,11,0
1669179578181,0,3,,3,1,1,7,0
1669179588565,1,0,,0,2,0,5,1
1669179605968,1,1,,1,0,0,17,1
1669179615250,1,2,,2,2,1,9,0
1669179618253,1,3,,3,1,1,2,0
1669588663639,0,3,,3,1,1,7,0
1669588671010,0,2,,2,2,1,7,0
1669588676588,0,1,,1,2,0,5,1
1669588690788,1,3,,3,1,1,3,0
1669588695272,1,2,,2,3,0,4,0
1669588700371,1,1,,1,1,1,4,1
1669588796203,0,3,,3,1,1,2,0
1669588799803,0,3,,3,1,1,3,0
1669588805469,0,2,,2,0,0,5,0
1669588809385,0,1,,1,3,0,3,1
1669588819420,1,3,,3,1,1,2,0
1669588822420,1,2,,2,0,0,2,0
1669588824719,1,1,,1,1,1,2,1
1669589681915,0,9,,9,1,1,4,1
1669589685531,0,8,,8,2,0,3,0
1669589689963,0,7,,7,0,1,4,2
1669589702814,0,6,,6,3,0,12,2
1669589711297,0,5,,5,2,0,8,2
1669589717914,0,4,,4,2,1,6,2
1669589720496,0,3,,3,1,1,2,0
1669589726431,0,2,,2,3,0,5,0
1669589729581,0,1,,1,1,1,2,1
1669589738514,1,9,,9,1,1,2,1
1669589741230,1,8,,8,1,1,2,0
1669589743780,1,7,,7,0,1,2,2
1669589755198,1,6,,6,0,0,11,2
1669589756629,1,5,,5,0,0,1,2
1669589758131,1,4,,4,0,0,1,2
1669589760481,1,3,,3,1,1,2,0
1669589762815,1,2,,2,2,1,2,0
1669589765481,1,1,,1,1,1,2,1
